Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
1,20272,"Gibbs, Jahmyr",DET,RB,1.12,1,3,,116,,
2,20271,"Robinson, Bijan",ATL,RB,1.99,1,3,,116,,
3,18775,"Chase, Ja'Marr",CIN,WR,3.14,2,6,,116,,
4,20336,"Nacua, Puka",LA,WR,5.09,2,12,,116,,
5,20273,"Smith-Njigba, Jaxon",SEA,WR,5.68,1,10,,116,,
6,18827,"St. Brown, Amon-Ra",DET,WR,6.11,4,13,,116,,
7,15222,"McCaffrey, Christian",SF,RB,7.68,3,16,,116,,
8,17962,"Taylor, Jonathan",IND,RB,7.88,4,16,,116,,
9,19467,"Cook III, James",BUF,RB,8.70,3,14,,116,,
10,17965,"Lamb, CeeDee",DAL,WR,11.17,5,18,,116,,
11,20292,"Brown, Chase",CIN,RB,11.58,3,16,,116,,
12,17972,"Jefferson, Justin",MIN,WR,11.66,7,20,,116,,
13,22069,"Hampton, Omarion",LAC,RB,14.82,5,21,,116,,
14,19430,"Walker III, Kenneth",KC,RB,15.59,10,22,,116,,
15,16062,"Barkley, Saquon",PHI,RB,15.80,6,23,,116,,
16,20284,"Achane, De'Von",MIA,RB,15.92,7,23,,116,,
17,17004,"Brown, A.J.",NE,WR,16.14,9,26,,116,,
18,19433,"London, Drake",ATL,WR,20.56,8,31,,116,,
19,21123,"Bowers, Brock",LV,TE,20.90,11,28,,116,,
20,15055,"Henry, Derrick",BAL,RB,21.04,12,34,,116,,
21,19437,"Pickens, George",DAL,WR,22.76,1,34,,116,,
22,18836,"Collins, Nico",HOU,WR,22.81,12,31,,116,,
23,19432,"Olave, Chris",NO,WR,23.09,14,41,,116,,
24,22055,"Jeanty, Ashton",LV,RB,23.43,5,131,,115,,
25,21122,"Nabers, Malik",NYG,WR,24.29,13,43,,116,,
26,18778,"Smith, DeVonta",PHI,WR,28.13,18,43,,116,,
27,19439,"McBride, Trey",ARZ,TE,28.47,10,44,,116,,
28,20287,"Rice, Rashee",KC,WR,28.99,21,48,,116,,
29,20288,"Flowers, Zay",BAL,WR,29.95,22,39,,116,,
30,21139,"McConkey, Ladd",LAC,WR,33.24,21,47,,116,,
31,18771,"Williams, Javonte",DAL,RB,33.91,20,51,,116,,
32,18781,"Waddle, Jaylen",DEN,WR,34.78,25,54,,116,,
33,16074,"Allen, Josh",BUF,QB,34.89,5,62,,116,,
34,19431,"Wilson, Garrett",NYJ,WR,35.36,28,56,,116,,
35,22930,"Love, Jeremiyah",ARZ,RB,36.35,18,54,,116,,
36,19450,"Williams, Kyren",LA,RB,36.76,19,52,,116,,
37,22063,"Egbuka, Emeka",TB,WR,37.17,22,59,,116,,
